Deutsch,English
aufstehen,stand up
hassen,to hate
pete,pete
gebrauchen,use
geglaubt,believed
milch,milch
trink,drink
gefeuert,fired
erinnerungen,memories
müssten,would have to
suchst,are looking for
fährst,drive
kochen,cook
schwach,weak
schreibt,writes
schulden,debts
hinein,into it
simon,simon
grenze,border
braut,track
gebraucht,needed
peinlich,awkward
klappt,works
geheimnisse,secrets
joey,joey
aufmerksamkeit,attention
form,form
umsonst,for free
kennenzulernen,to get to know
überlebt,survived
nirgendwo,nowhere
meilen,miles
einfacher,easier
blöde,stupid
mond,mond
ergibt,results
daten,data
merken,to notice
schande,shame
fuck,fuck
fühlte,felt
jenny,jenny
sieg,sieg
satt,sat
blödsinn,nonsense
adam,adam
lisa,lisa
pfund,Pound
handeln,act
lois,lois
enden,the end
warm,warm
raten,guess
übersetzung,translation
kunst,art
kapitän,captain
desto,the more
einsatz,mission
schweigen,be silent
krankheit,illness
toller,more awesome
schatten,shadow
wachen,guard
tatsache,fact
eric,eric
stock,stock
chief,chief
hingehen,go there
verboten,verboten
gäbe,would exist
anzug,men&apos;s suit
leichen,corpses
high,high
beendet,completed
freitag,freitag
million,million
verflucht,cursed
dunkel,dark
geb,geb
enttäuscht,disappointed
klopfen,beat
spuren,sense
dreck,dirt
seiten,pages
mühe,effort
gezogen,pulled
brian,brian
kontrollieren,check
knochen,bone
schick,schick
getrennt,separated
programm,program
grab,grab
ebenso,as well
trage,shoot
nachbarn,neighbors
bieten,offer
bestes,best
elizabeth,elizabeth
fuhr,drove
verlässt,leaves
freundlich,freundlich
dennoch,nonetheless
rauchen,smoke
dick,dick
stuhl,chair
dreh,turn
bester,bester
schicke,send
vergeben,forgive
ausgehen,go out
behandeln,treat
trotz,trotz
gast,gast
ändert,changes
passierte,happened
toilette,toilette
annehmen,assume
herzlichen,warmly
hexe,witch
erwachsen,adult
jerry,jerry
pistole,pistol
saß,sat
dreht,rotates
aussage,expression
liebte,loved
street,street
genießen,enjoy
eifersüchtig,jealous
derjenige,the one
teuer,expensive
leo,leo
zähne,teeth
beobachtet,observed
gentlemen,gentlemen
wählen,choose
helft,half
fliegt,flies
theater,theater
regen,regen
feinde,enemies
william,william
erlauben,allow
zulassen,allow
schnappen,snap
komplett,completely
panik,panic
flughafen,airport
bewusst,consciously
deutschen,German
voraus,in advance
sterbe,die
solltet,should
begleiten,accompany
einander,each other
fred,fred
erlebt,experienced
weiterhin,furthermore
stärker,stronger
fahrer,driver
konzentrieren,focus
streiten,argue
angeht,concerns
selben,the same
star,star
überzeugen,convince
alkohol,alcohol
übersetzt,translated
verrückte,crazy ones
lch,lch
king,king
begann,started
angenommen,assumed
weitermachen,keep going
echter,however
jackson,jackson
post,post
mitgenommen,taken away
botschaft,message
ideen,ideas
fehlen,miss
aufgeregt,upset
selbstmord,Suicide
dumme,stupid
zurückkommen,Come back
irgendein,any
magie,magic
phil,phil
schlage,hit
handelt,acts
treffe,hit
untersuchen,investigate
flucht,escape
verliert,loses
irgendeine,any
gegenteil,opposite
betrifft,regards
scharf,scharf
gehofft,hoped
kennengelernt,met
schlimmste,worst
projekt,Project
trottel,Fool
immerhin,anyway
mehrere,several
erwarte,expect
mochte,want
schwimmen,to swim
zählen,to count
innerhalb,within
matt,matt
blind,blind
schwestern,sisters
code,code
alan,alan
schlau,clever
absicht,intention
barry,barry
spielst,play
zuletzt,last
oliver,oliver
art.,art.
englisch,English
ohr,ohr
verletzen,injure
song,song
schüler,pupils
schien,seemed
gewinnt,wins
älter,older
merkwürdig,unusual
judy,judy
vermisse,miss
größe,size
tritt,occurs
trauen,trust
präsidenten,presidents
trick,trick
harvey,harvey
doug,doug
roten,redden
überlegt,considered
größten,biggest
sonntag,Sunday
zwölf,twelve
vorstellung,performance
schrieb,wrote
reinkommen,come in
killer,killer
unterstützung,support
antun,there
rechnung,invoice
dieselbe,the same
verändern,change
möglicherweise,possibly
definitiv,definitive
locker,locker
ed,ed
vincent,vincent
ums,ums
abends,at evening
frisch,frisch
kohle,money
fing,caught
hure,whore
cousin,cousin
familien,the family
einsam,lonely
lebendig,lively
heiligen,sanctify
knapp,knapp
ebenfalls,also
überprüft,checked
artikel,article
gesetzt,set
jederzeit,at any time
kompliziert,complicated
spüren,sense
signal,signal
amy,amy
stich,stich
kino,bad
probieren,try out
tode,Deaths
wundervoll,wonderful
tanz,dance
geöffnet,open
kerle,guys
begraben,to bury
prozent,percent
stoppen,fuses
hoheit,your highness
riesen,Giants
rote,rote
zugang,access
liest,reads
vorn,front
wichtige,important
aufmachen,open up
kelly,kelly
sexy,sexy
erlaubnis,permission
grace,grace
big,big
story,story
madam,madam
leichter,lighter
halben,half
filme,film
priester,priest
herauszufinden,to find out
packen,pack
dritte,third
inzwischen,in the meantime
larry,larry
presse,presse
sitze,sit
machten,made
geklaut,stolen
helden,heroes
susan,susan
geduld,patience
bühne,stage
reparieren,repair
hä,yes
usa,usa
gerechtigkeit,justice
fälle,cases
selten,rarely
anrufe,Calls
unterschreiben,sign
julia,julia
drücken,press
mrs,mrs
lügner,liar
endet,ends
dave,dave
medizin,medicine
schreibe,write
verhaften,to arrest
prozess,process
samstag,Saturday
amen,amen
motor,motor
marie,marie
abhauen,run away
chaos,chaos
schönheit,beauty
beinahe,nearly
lebst,live
tolles,great
anhalten,stop
fremden,strange
hof,hof
akzeptieren,accept
norden,norden
ärzte,doctors
anziehen,put on 
dingen,stuff
umgehen,evade
bauch,belly
gesamte,entire
hübsche,pretty
ertragen,bear
kiste,box
brennt,burns
teile,to you
deckung,cover
landen,to land
berg,berg
straßen,streets
aufgenommen,recorded
gerufen,called
untersuchung,investigation
alarm,alarm
blieb,stayed
vertraue,trust
extra,extra
entspann,relaxed
beobachten,observe
eindruck,impression
tschüs,bye
babys,Babies
wehtun,hurt
zog,strength
iss,iss
herrgott,jeez
echten,real
springen,to jump
nackt,naked
existiert,exists
befreien,to free
gerät,device
montag,montag
gezwungen,forced
perfekte,perfect
erzählst,tell
bastard,bastard
interessieren,interested
schlechten,bad
hank,hank
steigt,increases
st.,st.
on,on
carl,carl
gekriegt,got
fliehen,flee
trug,wore
freundschaft,Friendship
rate,rate
papiere,papers
abgeschlossen,completed
schnauze,snout
beruf,profession
gebiet,area
jeff,jeff
jedoch,however
beten,pray
verbunden,tied together
sprachen,languages
verräter,traitor
wichtigste,most important
prost,prost
brust,breast
aufgehört,stopped
kleider,dresses
jacke,jacket
bestellt,ordered
herkommen,come here
wild,wild
nenne,name
angesehen,viewed
zuhören,listen
trennen,separate
schlafzimmer,bedroom
vorschlag,suggestion
meins,mine
gift,gift
ton,ton
vermissen,miss
angekommen,arrived
beantworten,answer
deutlich,clearly
träumen,dream
verwirrt,confused
akten,files
riskieren,take risk
b,b
victor,victor
find,find
erkannt,recognized
beerdigung,burial
müll,garbage
weisst,you know
möge,may
stellte,presented
mitte,not
erleben,experience
geburt,birth
decke,ceiling
ch00ffff,ch00ffff
wege,ways
schritte,steps
gibts,there is
gemeldet,reported
hilfst,help
mittagessen,lunch
weint,cries
vernichten,destroy
rock,rock
chicago,chicago
ellen,ellen
crew,crew
roy,roy
türen,doors
gewehr,gun
elena,elena
arbeitete,worked
spiegel,spiegel
hauen,of these
geraten,devices
dritten,third
ross,ross
julie,julie
wetter,wetter
schwul,gay
regel,rule
befindet,located
einheit,unit
german,german
armer,arms
gucken,look
anstatt,instead of
champagner,champagne
gründe,reasons
strafe,strafe
smith,smith
öfter,more often
anne,anne
zelle,cell
langen,long
altes,tall
ruiniert,ruined
jonathan,jonathan
kleidung,clothing
gras,gras
kenn,kenn
agenten,agents
herausgefunden,found out
annie,annie
rechten,right
brot,offense
berlin,berlin
erfreut,pleased
lügt,lies
nehm,take
harte,harte
staaten,states
station,station
gaben,gifts
hinterher,after
verpassen,miss
geholt,fetched
jesse,jesse
hemd,shirt
trinke,drink
klären,clear up
praktisch,practical
theorie,theory
zunge,tongue
notfall,emergency
besseren,better
winter,winter
c,c
versuchst,try
dahinter,behind it
schwere,heavy
feuern,to fire
lucy,lucy
schießt,shoots
anführer,leader
schief,wrong
blau,blau
bestens,fine
wartest,wait
gehts,it&apos;s okay
morgan,morgan
unrecht,wrong
leck,leak
wonach,what
entwickelt,developed
bedeutung,meaning
strom,strom
krebs,krebs
gemein,mean
wessen,whose
minister,minister
lhnen,you
quelle,those
zahl,number
schiffe,Ships
schüsse,shots
bricht,breaks
talent,talent
spitze,great
fernseher,TV
treiben,to drive
ausgezeichnet,excellent
tatort,crime scene
möglichkeiten,possibilities
trinkt,drinks
esse,to be
cop,cop
details,details
täter,perpetrator
wahren,preserve
dieb,thief
offiziell,officially
dienen,serve
westen,west
entscheidungen,decisions
dauernd,constantly
geschmack,taste
gegenseitig,each other
gewählt,chosen
charlotte,charlotte
pech,bad luck
verteidigen,defend
schauspieler,actor
personen,persons
überlassen,left
publikum,audience
trägst,carry
wechseln,change
begegnet,encountered
betrogen,cheated
besucht,visited
vertrau,trust
europa,europa
carrie,carrie
patrick,patrick
deutschland,deutschland
süßer,cutie pie
loswerden,Get rid of
melde,report
maggie,maggie
bestätigt,confirmed
gas,gas
sturm,sturm
setze,set
briefe,letters
null,null
penny,penny
schlafe,sleep
wirken,works
geführt,guided
starten,beginning
götter,gods
festhalten,hold onto
geheim,secret
übergeben,hand over
cia,cia
abteilung,department
papier,papier
wetten,laws
gefolgt,followed
verschiedene,different
gleichzeitig,at the same time
genie,genie
hungrig,hungry
inspektor,inspector
zwingen,force
atmet,breathes
kuh,kuh
unterstützen,support
geworfen,thrown
verlor,lost
süden,south
pater,pater
menschheit,humanity
versteck,hide
tötete,killed
fähigkeiten,skills
beruhigt,calmed down
rechtzeitig,punctual
streng,strict
sendung,broadcast
gelebt,lived
treppe,stairs
kim,kim
richtiger,more correct
aufnehmen,to record
wolf,wolf
pa,pa
öffnet,opens
dämon,demon
wut,wut
schlange,snake
medikamente,medication
geschenkt,gifted
nenn,name
gelegt,placed
anfassen,touch
pizza,pizza
schlechtes,bad
hütte,hut
mantel,mantel
behauptet,claims
kilometer,kilometer
beeilung,beeilung
angeblich,allegedly
reiten,ride
helen,helen
mittag,midday
gewarnt,warned
wohne,live
las,las
dunkelheit,Darkness
spazieren,stroll
angel,angel
hiermit,herewith
schließt,closes
phoebe,phoebe
vieles,a lot
erfüllt,Fulfills
tausend,thousand
sack,sack
eindeutig,clearly
unterhaltung,entertainment
gründen,found
km,km
zugeben,admit
mittel,medium
explosion,explosion
gefangenen,prisoners
taylor,taylor
frische,freshness
verdächtigen,suspect
neugierig,curious
leitung,line
kennenlernen,get to know
fliege,Fly
lebte,lived
menschliche,human
anderem,other
auseinander,apart
fressen,eat
beides,both
ficken,fuck
stoff,fabric
spüre,feel
eilig,hurry
stammt,comes from
vorgestellt,presented
linda,linda
welch,welch
wichtiges,important
no,no
gehörte,belonged
mhm,mhm
glaubte,believed
oberst,oberst
schrank,wardrobe
fremde,strangers
gnade,grace
chloe,chloe
yo,yo
entspannen,relax
virus,virus
schläfst,sleeping
einladung,invitation
krieger,krieger
vernünftig,reasonable
fein,fein
greifen,grab
whoa,whoa
kyle,kyle
schickte,sent
per,per
mitglied,member
einziger,only one
umzubringen,to kill
zurückkehren,to return
feld,feld
mexiko,Mexico
erschaffen,create
information,information
hergekommen,came here
beweg,move
stärke,strength
vermögen,assets
verbracht,spent
gewisse,certain
waschen,wash
howard,howard
staat,stands
geister,ghosts
behaupten,claim
schrei,Scream
würdet,would
vögel,birds
warnen,to warn
albert,albert
chancen,opportunities
treibt,drives
nannte,called
vermute,guess
mitternacht,midnight
jones,jones
freundinnen,girlfriends
lecker,yummy
klinik,clinic
dicht,closed
befinden,condition
ließen,let
bürger,citizens
verursacht,caused
hammer,hammer
klang,klang
internet,internet
aufregend,exciting
grenzen,boundaries
politik,politics
superman,superman
zurecht,right
besitz,possession
cops,cops
eingesperrt,locked
irren,err
kommando,commando
schlug,hit
krankenwagen,ambulance
love,love
öffne,open
karen,karen
richten,to target
mademoiselle,mademoiselle
erfunden,invented
schnee,snow
fühl,feel
behalte,keep
beschützt,protected
punkte,Points
entfernen,remove
abgehauen,escape
geträumt,dreamed
stefan,stefan
dämonen,demons
tränen,tears
erfolgreich,successful
volle,full
wilson,wilson
caroline,caroline
höher,higher
happy,happy
brille,glasses
musstest,had to
heimat,hometown
terry,terry
liebsten,favorite
bye,bye
leiter,leiter
sean,sean
kauf,purchase
spinnst,spinning
werk,work
cent,cent
schlacht,battle
beziehungen,Relationships
abgemacht,agreed
schreie,scream
hmm,hmm
bestätigen,confirm
erschreckt,frightened
offizier,officer
that,that
sara,sara
affäre,affair
empfangen,received
zweck,purpose
kämpfe,fight
ergeben,result
china,china
fange,capture
häuser,Houses
verliere,lose
gedanke,thought
tausende,thousands
heutzutage,nowadays
gefühlt,felt
schnitt,cut
carlos,carlos
harold,harold
lebend,live
real,real
holz,holz
kaiser,kaiser
spielte,played
begonnen,started
ziehst,you pull
gelandet,landed
scheidung,divorce
bart,bart
beschlossen,decided
klo,at
riechen,smell
vergisst,forgets
begeistert,enthusiastic
ei,no
durchs,through
geil,horny
nieder,low
erkläre,explain
schreckliche,terrible
beeindruckt,impressed
vince,vince
aufgegeben,given up
aufgrund,because of
momentan,at the moment
solch,such
meistens,mostly
stress,stress
sterne,sterne
heilen,heal
soviel,so much
kannten,knew
stattdessen,instead
aye,aye
dinger,dinger
stimmung,mood
bulle,Bulls
aufgefallen,noticed
kämpft,fights
geräusch,noise
künstler,Artist
wachsen,grow
verurteilt,sentenced
himmels,heaven
tyler,tyler
urteil,verdict
schweine,pigs
nettes,clear
house,house
verlust,loss
verließ,left
wirf,throw
wenige,few
willie,willie
schulter,shoulder
kalifornien,California
lernt,learns
beigebracht,taught
normale,normal
anbieten,offer
verwenden,use
gratuliere,congratulate
fluch,fast
rick,rick
übers,trans
grün,green
unterricht,instruction
dachtest,you thought
verarschen,kidding
gewöhnt,used
anklage,accusation
tollen,great
lippen,lips
fett,fett
lege,lege
feigling,coward
achten,regard
gary,gary
erfährt,learns
gewohnt,used
jessica,jessica
äußerst,extremely
einladen,invite
käse,cheese
aufwachen,wake up
verfügung,disposal
uniform,uniform
zusehen,watch
board.tv4user.de,board.tv4user.de
gesundheit,health
abenteuer,adventure
hosen,pants
kurze,short
scheck,check
täglich,daily
fresse,eat
übernehme,take over
wiederholen,repeat
bestellen,bestellen
freiwillig,voluntarily
cole,cole
universum,universe
zeuge,witness
west,west
marshall,marshall
fähig,capable
revier,territory
reifen,tires
mum,mum
führe,lead
durchgemacht,went through
tests,tests
führte,led
schenken,give
schädel,skull
realität,reality
april,april
albern,silly
brav,well-behaved
schwerer,heavier
jagd,hunt
versagt,failed
truck,truck
steckst,stuck
geschenke,gifts
sicherlich,surely
öffentlichkeit,Publicity
merkt,notices
verbrecher,criminal
maske,mask
verstärkung,reinforcement
liefern,delivery
jo,jo
starke,starke
grunde,grounds
gordon,gordon
würd,would
verschwand,disappeared
schulde,debt
russen,Russians
führer,führer
gemerkt,noticed
ciao,ciao
loslassen,let go
berichten,to report
verabschieden,say goodbye
antrag,application
schieß,shoot
abby,abby
benehmen,behavior
verdacht,suspected
hübsches,pretty
schreibtisch,desk
e,e
vampir,vampire
rory,rory
probe,probe
schaff,schaff
verzeih,forgive
patient,patient
geküsst,kissed
ertönt,sounds
nahmen,took
zahlt,pays
vorbereiten,prepare
verbrannt,burned
verdammtes,damn
frankie,frankie
informiert,informed
einziges,only one
zucker,zucker
stinkt,smells bad
schnappt,snaps
schreib,write
standen,stood
klamotten,clothes
heil,heil
besitzer,owner
marcus,marcus
tess,tess
drum,drum
tasse,taxes
hinweis,a notice
verteidigung,defense
lügst,lie
lies,lies
magen,magen
enterprise,enterprise
michelle,michelle
beeilt,hurry up
tunnel,tunnel
einst,once
behandlung,treatment
serie,serie
applaus,applause
markt,market
korrekt,correct
besessen,obsessed
bewahren,preserve
nr.,nr.
pack,pack
gekämpft,fought
black,black
angreifen,attack
tiefer,deeper
huh,huh
truppen,troops
kommandant,commander
osten,east
elf,elf
beeindruckend,impressive
besitzt,owns
ho,to
heut,today
clever,clever
verrückten,crazy
freien,free
hass,hass
antworte,answer
posten,the mail
schneiden,cut
sammeln,collect
gesteckt,plugged in
wissenschaft,science
ursache,cause
gewiss,certainly
bereich,area
catherine,catherine
meinetwegen,because of me
l.a.,l.a.
senator,senator
ausziehen,get undressed
verzweifelt,desperate
jess,jess
anteil,portion
stets,always
ritter,ritter
viertel,quarter
roman,roman
pünktlich,on time
erfüllen,fulfill
kauft,buys
molly,molly
basis,basis
eva,eva
schock,schock
empfang,reception
wiederhole,repeat
wünscht,wishes
besondere,special
titel,title
stil,style
fingerabdrücke,fingerprints
einfluss,influence
anweisungen,instructions
zahle,pay
shield,shield
opfern,sacrifice
blaue,blueness
sparen,save
weiteres,additional
gehörst,belong
farm,farm
erstaunlich,astonishing
schwachsinn,nonsense
miete,rent
verwandelt,transformed
daneben,Besides
klaus,klaus
bereiten,prepare
wüste,desert
prüfen,check
gabe,gabe
hundert,hundred
erscheinen,appear
laß,let
besiegen,defeat
verpiss,verpiss
umständen,circumstances
angelegenheit,matter
landes,landes
dienstag,Tuesday
folgendes,the following
fürchten,to fear
mordes,murder
nennst,call
angestellt,employed
training,training
aufgetaucht,popped up
rausfinden,find out
ächzt,groans
rauskommen,come out
planet,planet
suppe,soup
erwischen,catch
sitz,Seat
johnson,johnson
vorteil,advantage
for,for
rosa,rosa
tour,tour
amerikanische,American
schönste,most beautiful
rufst,you call
berührt,touched
französisch,French
gouverneur,governor
angeles,angeles
kaufe,buy
stern,stern
gedächtnis,memory
wirklichkeit,reality
bestraft,punished
kreis,kreis
reine,reine
edward,edward
schlimmes,bad
bestehen,consist
jeannie,jeannie
erscheint,appears
staatsanwalt,prosecutor
ewigkeit,eternity
störung,disturbance
hässlich,ugly
lauft,running
angezogen,attracted
señor,señor
half,half
sollt,should
martha,martha
tiger,tiger
zigarette,Cigarette
mutig,brave
ausruhen,relax
andrew,andrew
linken,left
hauptmann,hauptmann
umstände,circumstances
not,not
unglück,bad luck
eng,eng
white,white
lucas,lucas
üben,practice
wissenschaftler,scientist
gelöst,solved
reaktion,reaction
morde,murders
dusche,shower
mitarbeiter,employees
your,your
bedroht,threatened
gehöre,belong
befreit,freed
stöhnen,moan
reagiert,Reacts
identität,identity
rund,around
texas,texas
fieber,fever
hirn,brain
leiten,lead
donnerstag,Thursday
leonard,leonard
unheimlich,scary
mulder,mulder
jahrhundert,century
irgend,any
diener,diener
bruce,bruce
extrem,extremely
ausweis,ID
sicht,view
sport,sport
juden,Jews
studiert,educated
angelogen,lied to
schaue,look
little,little
sally,sally
text,text
earl,earl
nebenan,next door
todd,todd
lektion,lesson
mäuse,mice
staub,staub
sophie,sophie
kugeln,balls
dutzend,dozen
ratte,gears
mitleid,pity
testen,to test
auftritt,occurs
gegner,opponent
joseph,joseph
verdienst,merit
langsamer,slower
wunde,wound
linie,line
bedrohung,threat
bauer,bauer
kurzem,recently
fische,fish
einkaufen,shopping
kreuz,cross
afrika,Africa
begangen,committed
el,he
nachsehen,check
junior,junior
bäume,trees
leidenschaft,passion
geliebte,Lover
bereuen,regret
spieler,player
berge,berge
verwendet,used
steuern,steer
gekümmert,cared for
voran,Ahead
wieviel,how much
barney,barney
graf,graf
verabredung,appointment
verlasse,leave
überfallen,ambushed
donna,donna
umdrehen,turn around
damon,damon
kilo,kilo
diego,diego
negativ,negative
schild,sign
tanzt,dances
verbrennen,burn
gefreut,pleased
penner,pens
blauen,blue
jay,jay
stücke,pieces
angela,angela
kühlschrank,refrigerator
identifizieren,identify
lehrerin,teacher
francisco,francisco
kameras,cameras
zentrale,central
jäger,Hunter
josh,josh
wayne,wayne
wenden,turn around
we,we
holst,holst
suchte,searched
start,start
füßen,feet
unglücklich,unhappy
frohe,happy
sand,sand
pfarrer,pfarrer
plus,plus
nancy,nancy
brachten,brought
zauber,magic
berühren,touch
rückkehr,return
hafen,harbor
indianer,Indian
miller,miller
verschwenden,waste
untersucht,examined
königs,King&apos;s
jean,jean
lese,read
stahl,stahl
hättet,would have
affen,monkeys
worten,words
kindheit,childhood
gewollt,wanted
op,op
vermeiden,avoid
fabrik,fabric
aussagen,testify
wunderbare,wonderful
grandpa,grandpa
miststück,bitch
verrückter,crazy
lane,lane
jungfrau,Virgo
einfache,simple
nate,nate
laufe,run
reingelegt,tricked
seltsame,strange
heiratet,marries
angenehm,pleasant
daheim,home
planen,the plan
klauen,to steal
geruch,odor
marty,marty
klingen,sound
tina,tina
nächster,next
hörten,heard
jackie,jackie
trafen,met
ungern,Hungary
abgelehnt,rejected
erstens,first
abmachung,agreement
appetit,appetit
miami,miami
zeigte,showed
fan,fan
hohen,high
alf,alf
ladys,ladies
sms,sms
verkauf,sale
jamie,jamie
verbergen,hide
sorgt,ensures
karl,karl
sohnes,son
berühmt,famous
aussteigen,exit
bonnie,bonnie
ginge,would go
reingehen,go in
durfte,could
korrektur,correction
wirft,throws
titten,tits
betreten,enter
todes,death
one,one
doctor,doctor
blöden,stupid
miles,miles
rausholen,get out
hohe,height
aufnahme,recording
by,by
holmes,holmes
hübscher,prettier
vegas,vegas
manager,manager
stellung,position
höhle,cave
schokolade,chocolate
angeboten,offered
befreundet,friends
weib,woman
ausgerechnet,of all things
walker,walker
beibringen,teach
nelson,nelson
ex,ex
belohnung,reward
seelen,souls
steine,stones
garage,garage
scheißkerl,shithead
gestört,disturbed
cooper,cooper
ruhen,rest
pillen,pills
gepäck,baggage
carol,carol
norman,norman
zoe,zoe
amerikanischen,American
telefonieren,make a phone call
heirate,marry
erkenne,recognize
funk,funk
grüß,greetings
hurensohn,hurensohn
mögliche,possible
spring,spring
uni,uni
scheinbar,seemingly
fakten,facts
informieren,inform
jugend,youth
feier,celebration
wenigen,few
söhne,sons
benzin,petrol
nix,nix
vampire,vampire
erkennt,recognizes
sicherer,safer
zigaretten,cigarettes
dummes,stupid
mauer,mauer
erneut,anew
flügel,wing
schluck,gulp
hierbleiben,stay here
abschluss,diploma
christus,christus
bezahle,pay
böses,evil
dummkopf,fool
gerüchte,rumors
eingestellt,set
m.,m.
weitergehen,move on
technik,technology
ali,ali
bezweifle,doubt
piper,piper
over,over
gekostet,cost
anzeige,advertisement
wohnst,live
hans,hans
ergebnis,result
bedingungen,conditions
brad,brad
aufzuhalten,to stop
versprich,promise
verdiene,the values
geschnappt,caught
francis,francis
eile,another
innen,within
italien,Italy
einig,Some
verhandeln,negotiate
weswegen,why
nützlich,useful
inneren,inner
gentleman,gentleman
felix,felix
vergesse,forget
dunkle,dark
warnung,warning
gemeinde,community
diamanten,diamonds
wächst,grows
gewöhnlich,usually
seil,rope
bär,berries
euro,euro
großartige,great
beth,beth
ware,ware
traurige,sad ones
persönliche,personal
figur,figure
time,time
roboter,robot
anschauen,look at
kürzlich,recently
material,material
paula,paula
käme,would come
stellst,put
bereitet,prepared
einfallen,come up
käfig,Cage
fantasie,fantasies
brach,brach
satz,sentence
kommissar,commissioner
exzellenz,excellence
schuldest,you owe
nass,nass
rächen,revenge
womöglich,possibly
begrüßen,greet
lou,lou
davis,davis
überraschen,to surprise
menschlichen,human
repariert,repaired
führung,guide
gestanden,confessed
jacob,jacob
schütze,protect
störe,disturb
nina,nina
filmen,the movie
jobs,jobs
maschinen,machinery
unterlagen,documents
palast,palace
graben,graben
kette,chain
auftauchen,turn up
interessante,Interesting
wovor,from what
springt,jumps
terroristen,terrorists
stan,stan
bekämpfen,fight
lärm,noise
flehe,flehe
aufgewachsen,grew up
arbeiter,worker
größere,larger
humor,humor
betrachten,regard
be,be
organisation,organisation
widerstand,resistance
bergen,bergen
studio,studio
hausaufgaben,homework
vögeln,fuck
bescheuert,stupid
weggehen,go away
teller,teller
original,original
revolution,revolution
hitler,hitler
mädel,girl
verbinden,connect
nathan,nathan
ermittlungen,investigations
steck,plug
wäsche,Laundry
rätsel,puzzle
besonderen,special
hunderte,hundreds
versetzt,offset
bibel,Bible
heiliger,holier
reiß,tear
kopie,copy
besitzen,own
zeitungen,newspapers
zurückgekommen,came back
süßes,sweet
barbara,barbara
ungewöhnlich,unusual
höhe,height
geschaffen,created
beschreiben,describe
ausgesucht,select
notwendig,necessary
dunklen,dark
ignorieren,to ignore
toter,Dead
deck,deck
narr,fool
scheißegal,don&apos;t give a fuck
höchstens,at most
übersehen,overlook
geirrt,mistaken
darunter,underneath
außen,Outside
einzig,only
stirbst,die
lhren,lhren
spielchen,games
girl,girl
fahrrad,bicycle
nutte,hooker
wilde,wilde
jordan,jordan
bequem,comfortable
rauch,rauch
verschiedenen,different
kamst,came
l,l
betty,betty
pool,pool
hubschrauber,helicopter
wüssten,would know
erstmal,for now
kollege,college
vernichtet,destroyed
gesichter,faces
derselbe,same
hattet,had
konto,account
freie,free
casey,casey
haken,hook
munition,munition
sünde,sin
militär,military
gefasst,caught
anzeichen,signs
geklappt,succeeded
hintergrund,background
erwähnen,mention
tipp,tipp
reißen,tear
keins,no
genial,genial
berichte,reports
kram,hug
schnapp,snap
solle,should
randy,randy
umziehen,move
zunächst,first
keinerlei,none whatsoever
typisch,typical
bietet,offers
leb,leb
technologie,technology
john-boy,john-boy
ruinieren,ruin
jünger,younger
poirot,poirot
umso,all the more
starben,died
rette,correct
triffst,meet
unhöflich,impolite
safe,safe
anzurufen,to call
universität,universität
mai,May
heben,lift
koch,koch
derselben,the same
katastrophe,catastrophe
male,male
olivia,olivia
prüfung,test
brown,brown
gesetze,laws
meeting,meeting
versicherung,insurance
getragen,carried
ehefrau,wife
mitmachen,participate
tauschen,to exchange
ergebnisse,results
boston,boston
reg,reg
einstellen,set
reagieren,react
gefehlt,missing
verwandeln,transform
gedauert,lasted
senden,from you
blair,blair
reporter,reporter
abgeben,hand over
mm,mm
parker,parker
anhören,listen
bibliothek,library
japan,japan
hinsetzen,sit down
hannah,hannah
serena,serena
motiv,reason
paige,paige
schalten,switch
derek,derek
gewöhnen,get used to
lernte,learned
vereinigten,united
gewicht,weight
zweiter,second
badezimmer,bathroom
schieben,push
dreimal,3 times
weich,soft
echtes,real
zweitens,Secondly
drachen,dragon
bahnhof,railroad station
erschöpft,exhausted
genauer,more accurate
verlange,longing
spanisch,Spanish
verrat,Treason
hexen,witches
live,live
legende,legend
taub,taub
freu,happy
konzert,concert
hopp,hope
wiederzusehen,to see again
doppelt,double
last,last
vergleich,comparison
böser,more evil
herzlich,heartfelt
monica,monica
taschen,bags
genügt,enough
besucher,visitors
spanien,Spain
großzügig,generous
teddy,teddy
hauses,house
leihen,lend
scheiden,to divorce
einstellung,attitude
köstlich,delicious
watson,watson
einheiten,units
wichtigen,important
go,go
warne,warne
russland,Russia
angeschossen,shot
sammy,sammy
pierre,pierre
sklaven,slaves
laune,mood
gesamten,entire
stille,quietly
asche,ash
geflogen,flown
spion,rearview mirror
what,what
aaron,aaron
weihnachtsmann,Santa Claus
hervorragend,terrific
can,can
verärgert,annoyed
puppe,doll
überfall,raid
unwichtig,unimportant
santa,santa
linke,linke
übung,exercise
buffy,buffy
franzosen,French people
wehgetan,hurt
schwäche,weakness
couch,couch
cousine,cousin
grant,grant
atme,breathe
irgendeinem,anyone
unterstützt,supports
oscar,oscar
ausdruck,expression
pleite,broke
beleidigt,insulted
knopf,knopf
stop,stop
schlimme,bad ones
beweist,proves
katie,katie
dramatische,dramatic
heutigen,today
leere,empty
island,island
shane,shane
daisy,daisy
trinkst,drink
heimlich,heimlich
eingehen,enter
rad,rad
greift,takes hold
mächtig,powerful
williams,williams
sinnlos,pointless
versaut,messed up
netz,network
atem,atem
anstellen,hire
milliarden,billion
flotte,beautiful
umgebung,vicinity
mitbringen,bring along
beteiligt,involved
dunkeln,darken
entwickeln,develop
